Date,Open,High,Low,Close,Adj Close,Volume
2/22/22,278.043335,285.57666,267.033325,273.843323,273.843323,83288100
2/23/22,276.809998,278.433319,253.520004,254.679993,254.679993,95256900
2/24/22,233.463333,267.493347,233.333328,266.92334,266.92334,135322200
2/25/22,269.743347,273.166656,260.799988,269.956665,269.956665,76067700
2/26/22,,,,,,
2/27/22,,,,,,
2/28/22,271.670013,292.286682,271.570007,290.143341,290.143341,99006900
3/1/22,289.893341,296.626678,284.593323,288.123322,288.123322,74766900
3/2/22,290.709991,295.493347,281.42334,293.296661,293.296661,74643300
3/3/22,292.92334,295.480011,277.533325,279.763336,279.763336,61623600
3/4/22,283.033325,285.216675,275.053345,279.429993,279.429993,66999600
3/5/22,,,,,,
3/6/22,,,,,,
3/7/22,285.433319,288.713318,268.190002,268.193329,268.193329,72494100
3/8/22,265.176666,283.329987,260.723328,274.799988,274.799988,80399100
3/9/22,279.82666,286.853333,277.33667,286.323334,286.323334,59184000
3/10/22,283.816681,284.816681,270.119995,279.433319,279.433319,58648500
3/11/22,280.066681,281.266663,264.589996,265.116669,265.116669,67037100
3/14/22,260.203339,266.899994,252.013336,255.456665,255.456665,71152200
3/15/22,258.42334,268.523346,252.190002,267.296661,267.296661,66841200
3/16/22,269.666656,280.666656,267.420013,280.07666,280.07666,84028800
3/17/22,276.996674,291.666656,275.23999,290.533325,290.533325,66582900
3/18/22,291.496674,302.616669,289.130005,301.796661,301.796661,100414200
3/21/22,304.993347,314.283325,302.363342,307.053345,307.053345,81981600
3/22/22,310,332.619995,307.25,331.32666,331.32666,105868500
3/23/22,326.646667,346.899994,325.466675,333.036682,333.036682,120676200
3/24/22,336.57666,341.496674,329.600006,337.973328,337.973328,68920800
3/25/22,336,340.600006,332.440002,336.880005,336.880005,62031600
3/28/22,355.033325,365.959991,351.200012,363.946655,363.946655,102506100
3/29/22,369.329987,371.589996,357.703339,366.523346,366.523346,73614900
3/30/22,363.723328,371.316681,361.333344,364.66333,364.66333,59865000
3/31/22,364.856659,367.713318,358.880005,359.200012,359.200012,48992700
4/1/22,360.383331,364.916656,355.546661,361.529999,361.529999,54263100
4/4/22,363.126678,383.303345,357.51001,381.816681,381.816681,82035900
4/5/22,378.766663,384.290009,362.433319,363.753326,363.753326,80075100
4/6/22,357.823334,359.666656,342.566681,348.58667,348.58667,89348400
4/7/22,350.796661,358.863342,340.513336,352.420013,352.420013,79447200
4/8/22,347.736664,349.480011,340.813324,341.829987,341.829987,55013700
4/11/22,326.799988,336.156677,324.880005,325.309998,325.309998,59357100
4/12/22,332.546661,340.396667,325.533325,328.983337,328.983337,65976000
4/13/22,327.026672,342.079987,324.366669,340.790009,340.790009,55121100
4/14/22,333.09668,337.570007,327.396667,328.333344,328.333344,58422300
4/18/22,329.676666,338.306671,324.470001,334.763336,334.763336,51715200
4/19/22,335.019989,344.980011,331.776672,342.716675,342.716675,49847700
4/20/22,343.333344,344.666656,325.083344,325.733337,325.733337,70711200
4/21/22,358.243347,364.073334,332.140015,336.26001,336.26001,105416400
4/22/22,338.303345,344.950012,331.333344,335.016663,335.016663,69696600
4/25/22,326.323334,336.206665,325.100006,332.67334,332.67334,68341200
4/26/22,331.809998,333.333344,291.666656,292.140015,292.140015,136133700
4/27/22,299.526672,306,292.453339,293.83667,293.83667,76956300
4/28/22,299.993347,300,273.899994,292.503326,292.503326,124948500
4/29/22,300.75,311.466675,290,290.253326,290.253326,88133100
5/2/22,286.92334,302.119995,282.676666,300.980011,300.980011,75781500
5/3/22,301.059998,308.026672,296.196655,303.083344,303.083344,63709500
5/4/22,301.313324,318.5,295.093323,317.540009,317.540009,81643800
5/5/22,313.006653,315.200012,285.899994,291.093323,291.093323,92519100
5/6/22,295.666656,296,281.036682,288.549988,288.549988,72903000
5/9/22,278.816681,281.876678,260.383331,262.369995,262.369995,90810300
5/10/22,273.103333,275.119995,258.083344,266.679993,266.679993,84401700
5/11/22,265,269.92334,242.399994,244.666672,244.666672,97224600
5/12/22,233.666672,253.220001,226.666672,242.666672,242.666672,140313000
5/13/22,257.82666,262.450012,250.523331,256.529999,256.529999,92150700
5/16/22,255.720001,256.58667,239.696671,241.456665,241.456665,86098500
5/17/22,249.119995,254.82666,242.949997,253.869995,253.869995,80236200
5/18/22,248.17334,253.5,233.603333,236.603333,236.603333,87811800
5/19/22,235.666672,244.666672,231.369995,236.473328,236.473328,90296700
5/20/22,237.996674,240.526672,211,221.300003,221.300003,144973200
5/23/22,218.339996,226.653336,212.686661,224.96666,224.96666,88903500
5/24/22,217.843338,217.973328,206.856674,209.386673,209.386673,89092500
5/25/22,207.949997,223.106674,207.669998,219.600006,219.600006,92139300
5/26/22,220.473328,239.556671,217.886673,235.910004,235.910004,106003200
5/27/22,241.083328,253.266663,240.176666,253.210007,253.210007,89295000
5/31/22,257.946655,259.600006,244.743332,252.753326,252.753326,101914500
6/1/22,251.720001,257.32666,243.639999,246.789993,246.789993,77247900
6/2/22,244.156662,264.209991,242.066666,258.333344,258.333344,93473100
6/3/22,243.226669,247.796661,233.416672,234.516663,234.516663,112393800
6/6/22,244.353333,244.866669,234.350006,238.279999,238.279999,84204600
6/7/22,234,239.996674,230.093338,238.886673,238.886673,72808500
6/8/22,240.08667,249.963333,239.176666,241.866669,241.866669,76210500
6/9/22,249.339996,255.546661,239.32666,239.706665,239.706665,96491400
6/10/22,235.156662,239.5,227.91333,232.229996,232.229996,97536600
6/13/22,223.166672,226.633331,214.683334,215.736664,215.736664,102767400
6/14/22,218.286667,226.330002,211.736664,220.889999,220.889999,97988700
6/15/22,220.916672,235.66333,218.149994,233,233,119131800
6/16/22,222.736664,225.166672,208.693329,213.100006,213.100006,107390700
6/17/22,213.433334,220.970001,213.196671,216.759995,216.759995,92641800
6/21/22,224.603333,243.57666,224.333328,237.036667,237.036667,122793000
6/22/22,234.503326,246.833328,233.82666,236.08667,236.08667,101107500
6/23/22,237.906662,239.316666,228.636673,235.070007,235.070007,104202600
